year,team,Country,team_score,team_rank,team_name_reduced,team_pcs_id,team_gen_id,team_class
2020.0,Black Spoke Pro Cycling Academy,New Zealand,92.0,62.0,blackspokeprocyclingacademy,6723.0,6723.0,CT
2021.0,Black Spoke Pro Cycling Academy,New Zealand,215.0,61.0,blackspokeprocyclingacademy,6723.0,6723.0,CT
2022.0,Bolton Equities - Black Spoke Pro Cycling,New Zealand,420.0,40.0,blackspokeprocyclingacademy,6723.0,6723.0,CT
2023.0,Bolton Equities - Black Spoke,New Zealand,742.0,34.0,boltonequitiesblackspoke,6723.0,6723.0,PRT
2006.0,Team Vorarlberg,Austria,383.0,55.0,teamvorarlberg,1436.0,1436.0,PCT
2011.0,Team Vorarlberg,Austria,121.0,108.0,teamvorarlberg,1436.0,1436.0,CT
2012.0,Team Vorarlberg,Austria,426.0,51.0,teamvorarlberg,1436.0,1436.0,CT
2013.0,Team Vorarlberg,Austria,62.0,137.0,teamvorarlberg,1436.0,1436.0,CT
2014.0,Team Vorarlberg,Austria,106.0,113.0,teamvorarlberg,1436.0,1436.0,CT
2015.0,Team Vorarlberg,Austria,215.0,80.0,teamvorarlberg,1436.0,1436.0,CT
2016.0,Team Vorarlberg,Austria,130.0,96.0,teamvorarlberg,1436.0,1436.0,CT
2017.0,Team Vorarlberg,Austria,154.0,94.0,teamvorarlberg,1436.0,1436.0,CT
2018.0,Team Vorarlberg - Santic,Austria,563.0,46.0,teamvorarlbergsantic,1436.0,1436.0,CT
2019.0,Team Vorarlberg - Santic,Austria,295.0,60.0,teamvorarlbergsantic,1436.0,1436.0,CT
2020.0,Team Vorarlberg - Santic,Austria,137.0,54.0,teamvorarlbergsantic,1436.0,1436.0,CT
2020.0,Team Vorarlberg,Austria,137.0,54.0,teamvorarlberg,1436.0,1436.0,CT
2021.0,Team Vorarlberg,Austria,146.0,78.0,teamvorarlberg,1436.0,1436.0,CT
2022.0,Team Vorarlberg,Austria,239.0,55.0,teamvorarlberg,1436.0,1436.0,CT
2023.0,Team Vorarlberg,Austria,155.0,91.0,teamvorarlberg,1436.0,1436.0,CT
2024.0,Team Vorarlberg,Austria,136.0,70.0,teamvorarlberg,1436.0,1436.0,CT
